Institute ID,Institute Name,City,TLR(100),RPC(100),GO(100),OI(100),Perception(100),Score,Ranking,Year
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,90.04,94.61,80.42,21.6,100.0,62.85,1.0,2022
IR-E-I-1074,"Indian Institute of Technology, Delhi",New Delhi,88.12,86.94,83.42,23.7,96.92,68.56,2.0,2022
IR-E-U-0306,"Indian Institute of Technology, Bombay",Mumbai,83.96,87.53,79.19,18.74,88.7,57.37,3.0,2022
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,82.56,87.95,89.7,21.64,83.01,59.47,4.0,2022
IR-E-U-0573,"Indian Institute of Technology, Kharagpur",Kharagpur,78.89,79.21,80.91,21.09,82.63,53.08,5.0,2022
IR-E-U-0560,"Indian Institute of Technology, Roorkee",Roorkee,76.7,75.98,90.13,24.44,61.36,63.09,6.0,2022
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,72.98,75.89,84.64,23.51,57.15,56.9,7.0,2022
IR-E-U-0467,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,69.17,76.39,79.17,16.69,64.38,64.48,8.0,2022
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,68.03,80.31,72.4,16.82,59.96,54.85,9.0,2022
IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal",Surathkal,66.04,72.86,77.7,16.78,53.24,63.89,10.0,2022
IR-E-U-0575,Jadavpur University,Kolkata,65.68,71.38,78.12,6.15,40.97,52.34,11.0,2022
IR-E-U-0490,Vellore Institute of Technology,Vellore,65.53,62.54,69.45,18.14,49.6,59.27,12.0,2022
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,63.51,62.62,81.72,17.31,55.89,56.06,13.0,2022
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,63.5,68.7,71.17,18.67,36.23,54.35,14.0,2022
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,62.36,73.39,71.8,15.66,24.43,57.08,15.0,2022
IR-E-U-0273,Indian Institute of Technology Indore, Indore,61.68,76.28,70.38,17.76,24.43,52.48,16.0,2022
IR-E-U-0439,Anna University,Chennai,61.41,64.33,57.8,0.65,62.83,48.87,17.0,2022
IR-E-U-0308,Institute of Chemical Technology,Mumbai,61.4,76.45,69.53,7.28,19.95,54.58,18.0,2022
IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,60.92,68.97,61.4,18.46,41.78,61.738,19.0,2022
IR-E-U-0184,"Indian Institute of Technology, Mandi",Mandi,60.43,75.77,77.55,21.11,22.57,67.16,20.0,2022
IR-E-U-0025,National Institute of Technology Warangal,Warangal,60.0,73.99,75.11,15.69,35.77,54.91,21.0,2022
IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,59.16,81.07,68.76,23.11,30.87,63.67,22.0,2022
IR-E-U-0139,"Indian Institute of Technology, Gandhinagar",Gandhinagar,58.27,80.19,64.63,21.0,35.07,60.47,23.0,2022
IR-E-U-0473,S.R.M. Institute of Science and Technology,Chennai,58.02,61.2,67.17,19.46,22.89,61.76,24.0,2022
